BREVITEST,,,,,,,,,,,,,,,Datasheet Box Link: https://app.box.com/folder/379359319033,,,,,,,,,,,,,,,,,,,,,,,,
Tag #,Equiment,Bench/Floor,Location,QTY,Dimensions (Inches),,,Power,Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,,,,,,,,,,,,,,,,,,,,,,,,
Spec Sheet,,,,,W,D,H,,,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-52,Paper Cutter,Bench,B-06,,15,13,3,N/A,N/A,N/A,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-53,Small glass door fridge 1,UC,B-09,,19,19,28,120,85,1.3,Yes,,Manufacturing ,,https://www.newair.com/products/newair-60-can-freestanding-black-beverage-fridge?srsltid=AfmBOorOpPqIgMRnrNvhtcMVy2Jr2jE4N8DGRkCnp_VDoIRRIJT1QAc8&view=product-page-variant-b,,,,,,,,,,,,,,,,,,,,,,,,
E-54,Small glass door fridge 2,UC,B-09,,19,19,28,120,85,1.3,Yes,,Manufacturing ,,https://www.newair.com/products/newair-126-can-freestanding-stainless-steel-beverage-fridge?srsltid=AfmBOorBtbOt7fsaceH4TeXsW0igYX7f-k4CJIc0Kpb1Lki-LylbAXO5&view=product-page-variant-b,,,,,,,,,,,,,,,,,,,,,,,,
E-55,In process Cartridge Fridge 1,UC,B-05,,24,23,32,120,200,1.74,Yes,,Manufacturing ,,https://americanbiotechsupply.com/product/abt-hc-ucbi-0404g-ada-4-6-cu-ft-premier-undercounter-refrigerator-built-in-ada/,,,,,,,,,,,,,,,,,,,,,,,,
E-56,In process Cartridge Fridges 1,UC,B-05,,24,23,32,120,200,1.74,Yes,,Manufacturing ,,https://americanbiotechsupply.com/product/abt-hc-ucbi-0404g-ada-4-6-cu-ft-premier-undercounter-refrigerator-built-in-ada/,,,,,,,,,,,,,,,,,,,,,,,,
E-57,Computer (Mac),Bench,B-21,,20,24,19,120,143,1.19,,,Open Lab,,https://www.apple.com/imac/specs/,,,,,,,,,,,,,,,,,,,,,,,,
E-58,Spectrophotometer,Bench,B-04,,18,17,10,120,150,1.25,,,Open Lab,,https://lifesciences.tecan.com/plate_readers/fluorescence_absorbance_luminescence?p=tab--5&_gl=1*1mqk2bp*_gcl_aw*R0NMLjE3NzczOTc0MjMuQ2p3S0NBand0Y0hQQmhBREVpd0FXbzNzSm9NUFdJS1dCSzZSMVdicWdwXzVQTGxhbHMtd1J6RElGaE9xckpUVGhaVGNWdU56UThvZV94b0NMbVVRQXZEX0J3RQ..*_gcl_au*MTA5NTUzOTEzNC4xNzc3Mzk3NDIy*_ga*MTU4MjM0MjU5LjE3NzczOTc0MjI.*_ga_72K82RR9Y8*czE3NzczOTc0MjEkbzEkZzEkdDE3NzczOTc0MjEkajYwJGwwJGgw,,,,,,,,,,,,,,,,,,,,,,,,
E-59,Main Scale,Bench,B-07,,9,14,14,120,6,0.05,,,Open Lab,,https://discountscales.com/products/ohaus-ax124-e-adventurer-analytical-balance-120-g-capacity-0-0001-g-readability?variant=36930207907998&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=19891411607&gbraid=0AAAAABrwOr9HsxeVNVUY_-rKxtIqS92Ds&gclid=CjwKCAjwtcHPBhADEiwAWo3sJu1aqHjEbU9GoZYvmO6U_198O776xzla-8HpnID73TEYWi_z7uxa3BoCNn4QAvD_BwE,,,,,,,,,,,,,,,,,,,,,,,,
E-60,Fume Hood,Bench,B-09,,24,32,33,120,400,1.67,,,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/airclean-systems-600-pcr-workstation-model-ac648lfuvc-14064/?gad_source=1&gad_campaignid=21148954974&gbraid=0AAAAA9UxONI5PRq6UUloK80_vsUbslVQ0&gclid=CjwKCAjwtcHPBhADEiwAWo3sJqO7Ikif9nCGYP4uUixuk6R1lGk9jdSZJjUthZHDhEeqF2Cqp9UsjBoCfAUQAvD_BwE,,,,,,,,,,,,,,,,,,,,,,,,
E-61,PH meter,Bench,B-21,,20,20,12,120,9,1,,,Open Lab,,https://www.thermofisher.com/order/catalog/product/VSTAR10?ef_id=Cj0KCQjw2MbPBhCSARIsAP3jP9zEJWmat--s4jfljhdIrXqIe4_P1tGsT4Gol0QYshkmSCbivNComSwaAslrEALw_wcB:G:s&s_kwcid=AL!3652!3!655755389403!!!g!!!20012026529!151988049087&cid=lpd_wlp_wal_r02_co_cp1462_pjt7348_lpd000000_0se_gaw_dy_awa_bntopmet&gad_source=1&gad_campaignid=20012026529&gbraid=0AAAAADxi_GQFeCHiO7fPLtw-Pe_eJ0DF2&gclid=Cj0KCQjw2MbPBhCSARIsAP3jP9zEJWmat--s4jfljhdIrXqIe4_P1tGsT4Gol0QYshkmSCbivNComSwaAslrEALw_wcB,,,,,,,,,,,,,,,,,,,,,,,,
